timestamp,open,high,low,close,volume,tf
1713848400000,66216.70,66591.70,66153.50,66462.00,6616.8770,1h
1713852000000,66462.00,66627.60,66270.00,66351.00,4503.3910,1h
1713855600000,66351.00,66423.50,65988.00,66079.90,7837.0210,1h
1713859200000,66079.90,66229.20,65900.70,66179.00,7167.7790,1h
1713862800000,66178.90,66276.80,66009.90,66040.00,4514.8370,1h
1713866400000,66039.90,66297.00,66039.90,66188.10,4749.6480,1h
1713870000000,66188.10,66218.10,65812.00,66023.50,8545.0140,1h
1713873600000,66023.50,66140.20,65750.00,66115.10,7217.3900,1h
1713877200000,66115.00,66538.20,66006.60,66467.20,13266.6100,1h
1713880800000,66467.30,67099.70,66370.20,66880.50,26033.2150,1h
1713884400000,66880.40,66901.10,66283.60,66393.20,12686.5320,1h
1713888000000,66393.20,66784.00,66311.40,66723.40,9315.0420,1h
1713891600000,66723.40,66887.00,66543.20,66723.60,4651.8930,1h
1713895200000,66723.60,66826.80,66551.50,66756.40,3997.2590,1h
1713898800000,66756.30,66756.40,66351.10,66456.00,4364.9750,1h
1713902400000,66455.90,66457.10,65924.70,66316.20,10255.6170,1h
1713906000000,66316.30,66439.50,66219.60,66323.50,2699.5380,1h
1713909600000,66323.50,66429.00,66238.00,66334.00,2679.3160,1h
1713913200000,66334.00,66404.60,66074.40,66386.30,3873.8870,1h
1713916800000,66386.20,66723.00,66347.20,66721.80,6278.7240,1h
1713920400000,66721.80,66869.80,66640.70,66704.90,4450.3350,1h
1713924000000,66704.90,66741.50,66414.00,66499.20,4660.9790,1h
1713927600000,66499.20,66694.30,66477.00,66585.70,2950.1640,1h
1713931200000,66585.80,67068.20,66552.70,66978.40,7529.6030,1h
1713934800000,66978.40,67049.50,66594.00,66706.80,7125.5140,1h
1713938400000,66706.80,66774.90,66520.80,66748.00,4730.4080,1h
1713942000000,66748.00,66856.00,66549.00,66588.90,3899.5180,1h
1713945600000,66588.90,66721.70,66443.70,66506.00,5340.7630,1h
1713949200000,66506.10,66533.50,66232.80,66328.40,8118.7770,1h
1713952800000,66328.50,66484.70,66172.00,66395.30,6057.8440,1h
1713956400000,66395.20,66610.30,66336.60,66550.70,5285.4340,1h
1713960000000,66550.70,66711.90,66302.60,66317.80,6733.5430,1h
1713963600000,66317.80,66325.20,65810.00,66040.90,21658.8940,1h
1713967200000,66041.00,66180.00,64706.00,65212.70,48486.8130,1h
1713970800000,65212.80,65221.10,64489.70,64594.00,26147.6630,1h
1713974400000,64593.50,64947.60,64315.90,64771.40,22142.7390,1h
1713978000000,64771.40,65122.00,64725.50,64850.00,11624.0000,1h
1713981600000,64850.00,64898.30,64022.00,64100.10,16086.5370,1h
1713985200000,64100.00,64464.60,63695.00,63960.90,21204.9470,1h
1713988800000,63960.80,64223.90,63575.00,64082.40,16770.3600,1h
1713992400000,64082.50,64426.60,63954.50,64362.10,7096.1240,1h
1713996000000,64362.00,64380.50,63916.10,64061.10,7124.0360,1h
1713999600000,64060.90,64315.60,63786.10,64250.00,9041.3420,1h
1714003200000,64250.00,64713.60,64191.90,64517.50,8129.9070,1h
1714006800000,64517.40,64634.80,64016.50,64028.40,8370.6570,1h
1714010400000,64028.40,64317.10,63823.20,64275.80,7424.4390,1h
1714014000000,64275.80,64446.00,64111.10,64260.00,5193.1120,1h
1714017600000,64259.90,64377.10,64026.10,64315.50,6107.8750,1h
1714021200000,64315.40,64350.00,64000.40,64190.70,5760.7880,1h
1714024800000,64190.70,64365.00,64164.20,64260.50,3087.2500,1h
1714028400000,64260.50,64355.70,63800.00,63996.10,8673.7200,1h
1714032000000,63996.20,64158.00,63688.00,63929.80,10748.1410,1h
1714035600000,63929.90,64180.00,63793.30,63948.20,7206.6480,1h
